"","time_interval","time_frame","dataset_name","b","X","N","lm_intercept","lm_slope"
"b129","monthly","2014-12","salesforce",-0.663459401874863,33,1071,2.70038053964015,-0.746617005164079
"b130","monthly","2014-12","salesforce",-0.661965469915832,34,1071,2.711080407371,-0.744041076612984
"b131","monthly","2014-12","salesforce",-0.660418359942445,35,1071,2.72198393781281,-0.74165270806492
"b132","monthly","2014-12","salesforce",-0.658859906961365,36,1071,2.73254333874093,-0.73933395504035
"b133","monthly","2014-12","salesforce",-0.657313658618916,37,1071,2.7424336544889,-0.737014195775523
"b134","monthly","2014-12","salesforce",-0.655820086741552,38,1071,2.75259973286766,-0.734899707370669
"b135","monthly","2014-12","salesforce",-0.654327996842284,39,1071,2.76098775579472,-0.732537378784514
"b136","monthly","2014-12","salesforce",-0.652843343126894,40,1071,2.76850944571061,-0.730110560240742
"b137","monthly","2014-12","salesforce",-0.651338093943937,41,1071,2.77575797724894,-0.72773219770106
"b138","monthly","2014-12","salesforce",-0.649809545243865,42,1071,2.78319417880031,-0.725495331900282
"b139","monthly","2014-12","salesforce",-0.648225741447708,43,1071,2.79031327789534,-0.72327927873264
"b140","monthly","2014-12","salesforce",-0.646620169992419,44,1071,2.79777682302742,-0.721223584306342
"b141","monthly","2014-12","salesforce",-0.644970518801442,45,1071,2.80487920440259,-0.719173572580906
"b142","monthly","2014-12","salesforce",-0.643420541651971,46,1071,2.81145280416778,-0.717120436539536
"b143","monthly","2014-12","salesforce",-0.641852332976645,47,1071,2.81817250321912,-0.71517643979222
"b144","monthly","2014-12","salesforce",-0.640246327042604,48,1071,2.82518448299287,-0.713368250682799
"b145","monthly","2014-12","salesforce",-0.638647024412416,49,1071,2.83159331575569,-0.711511734745798
"b146","monthly","2014-12","salesforce",-0.637073330486796,50,1071,2.83720965344975,-0.709567460393261
"b147","monthly","2014-1-","salesforce",-0.725921497900707,2,924,0.742770741722442,-0.802042856224539
"b148","monthly","2014-1-","salesforce",-0.709993794732203,3,924,1.08817845496738,-0.801085233109098
"b149","monthly","2014-1-","salesforce",-0.701062539887908,4,924,1.31343207994237,-0.797115066918462
"b150","monthly","2014-1-","salesforce",-0.693445233521714,5,924,1.48868422364608,-0.794738449448836
"b151","monthly","2014-1-","salesforce",-0.687245647669213,6,924,1.62224345639941,-0.790792994969892
"b152","monthly","2014-1-","salesforce",-0.681980814334554,7,924,1.73148896024429,-0.786948654169047
"b153","monthly","2014-1-","salesforce",-0.67678593606868,8,924,1.8286172917757,-0.784285151110896
"b154","monthly","2014-1-","salesforce",-0.672169372531724,9,924,1.91157370224379,-0.781427538619846
"b155","monthly","2014-1-","salesforce",-0.668177626329609,10,924,1.98148275292173,-0.778133223990704
"b156","monthly","2014-1-","salesforce",-0.664169374809329,11,924,2.04714052207339,-0.775745067301166
"b157","monthly","2014-1-","salesforce",-0.660451578637025,12,924,2.10944822203215,-0.774216209371187
"b158","monthly","2014-1-","salesforce",-0.657266207268571,13,924,2.16364449301344,-0.772252967415519
"b159","monthly","2014-1-","salesforce",-0.654036750381027,14,924,2.21213427808606,-0.770046319878073
"b160","monthly","2014-1-","salesforce",-0.650923775223959,15,924,2.25420369703443,-0.767363314436703
"b161","monthly","2014-1-","salesforce",-0.64799811804353,16,924,2.29428427616296,-0.765084361440549
"b162","monthly","2014-1-","salesforce",-0.64516152477832,17,924,2.33096561971234,-0.762738309058223
"b163","monthly","2014-1-","salesforce",-0.642559054892202,18,924,2.36454688598036,-0.760371268265589
"b164","monthly","2014-1-","salesforce",-0.640018329315143,19,924,2.39639211564281,-0.758162865921465
"b165","monthly","2014-1-","salesforce",-0.637626663253168,20,924,2.42472513768915,-0.755734734902901
"b166","monthly","2014-1-","salesforce",-0.635301203591965,21,924,2.4513509129505,-0.753381962509522
"b167","monthly","2014-1-","salesforce",-0.633020996869246,22,924,2.47778549171773,-0.751391651766806
"b168","monthly","2014-1-","salesforce",-0.63081826963277,23,924,2.50307056188298,-0.749531135096745
"b169","monthly","2014-1-","salesforce",-0.628709637923919,24,924,2.526168940558,-0.747540636793701
"b170","monthly","2014-1-","salesforce",-0.626752052474342,25,924,2.54693699274333,-0.74539072936248
"b171","monthly","2014-1-","salesforce",-0.624823642346386,26,924,2.56492543997236,-0.742924381052852
"b172","monthly","2014-1-","salesforce",-0.622949062209871,27,924,2.58165463143881,-0.740460691368866
"b173","monthly","2014-1-","salesforce",-0.621108003430928,28,924,2.59759809809419,-0.738060694421362
"b174","monthly","2014-1-","salesforce",-0.619333123577703,29,924,2.61148230977526,-0.73544833190275
"b175","monthly","2014-1-","salesforce",-0.617568944961377,30,924,2.62487965402403,-0.732933454344712
"b176","monthly","2014-1-","salesforce",-0.615945894573674,31,924,2.63680423834531,-0.730327165092321
"b177","monthly","2014-1-","salesforce",-0.614283457052389,32,924,2.64733066186668,-0.727593896356687
"b178","monthly","2014-1-","salesforce",-0.612705843079806,33,924,2.65832677627184,-0.725146927751387
"b179","monthly","2014-1-","salesforce",-0.611134227010226,34,924,2.66887494734709,-0.722766232158197
"b180","monthly","2014-1-","salesforce",-0.609531479625787,35,924,2.67916353500039,-0.720470501405665
"b181","monthly","2014-1-","salesforce",-0.608001760601277,36,924,2.68971086598271,-0.718388863686355
"b182","monthly","2014-1-","salesforce",-0.606424576090946,37,924,2.69922377363118,-0.716206154256452
"b183","monthly","2014-1-","salesforce",-0.6048654806825,38,924,2.7080838626527,-0.714014851962339
"b184","monthly","2014-1-","salesforce",-0.603283892924526,39,924,2.71712097636209,-0.711967585316625
"b185","monthly","2014-1-","salesforce",-0.60177538144594,40,924,2.72586867024553,-0.709988280015218
"b186","monthly","2014-1-","salesforce",-0.60027432259295,41,924,2.73383920543794,-0.707948602085813
"b187","monthly","2014-1-","salesforce",-0.598695459404862,42,924,2.74133473348946,-0.705892660389118
"b188","monthly","2014-1-","salesforce",-0.597229712713766,43,924,2.74834366258753,-0.703858233782083
"b189","monthly","2014-1-","salesforce",-0.595791017524303,44,924,2.75485131765351,-0.70181231365409
"b190","monthly","2014-1-","salesforce",-0.594362643555073,45,924,2.76096062377419,-0.699770334067588
"b191","monthly","2014-1-","salesforce",-0.59292496600119,46,924,2.76606702965661,-0.697599653990009
"b192","monthly","2014-1-","salesforce",-0.59143293711955,47,924,2.7701564539236,-0.695286154041192
"b193","monthly","2014-1-","salesforce",-0.589889747885662,48,924,2.77486853240215,-0.693165662337156
"b194","monthly","2014-1-","salesforce",-0.58834041594851,49,924,2.77800869784993,-0.690794912995616
"b195","monthly","2014-1-","salesforce",-0.586805866848222,50,924,2.78057860138183,-0.688379389316493
"b196","monthly","2014-2-","salesforce",-0.768510199840414,2,897,0.667471553124813,-0.804011897284222
"b197","monthly","2014-2-","salesforce",-0.750434102591765,3,897,1.02050522112555,-0.805659547726055
"b198","monthly","2014-2-","salesforce",-0.736784599559306,4,897,1.27543773210542,-0.807912337999015
"b199","monthly","2014-2-","salesforce",-0.727613960463317,5,897,1.46319552768336,-0.807744330049052
"b200","monthly","2014-2-","salesforce",-0.721409198365285,6,897,1.6113583504221,-0.806837231662517
"b201","monthly","2014-2-","salesforce",-0.716588757571861,7,897,1.73153841618138,-0.80505856624085
"b202","monthly","2014-2-","salesforce",-0.712156999159833,8,897,1.83175535595451,-0.802595077787934
"b203","monthly","2014-2-","salesforce",-0.708155332794683,9,897,1.9182348847207,-0.800052825317093
"b204","monthly","2014-2-","salesforce",-0.704625271719132,10,897,1.99475679661405,-0.797738588471515
"b205","monthly","2014-2-","salesforce",-0.701364800008754,11,897,2.06253460976007,-0.795423558478169
"b206","monthly","2014-2-","salesforce",-0.698316211155651,12,897,2.12230049459935,-0.792878527624396
"b207","monthly","2014-2-","salesforce",-0.695407776982648,13,897,2.17389431706253,-0.789833807829675
"b208","monthly","2014-2-","salesforce",-0.692599317609586,14,897,2.22254204983407,-0.787259144624685
"b209","monthly","2014-2-","salesforce",-0.690014213219888,15,897,2.26515887227166,-0.784327651341513
"b210","monthly","2014-2-","salesforce",-0.687569887337698,16,897,2.30291421855034,-0.781160832410783
"b211","monthly","2014-2-","salesforce",-0.685265470983844,17,897,2.33690062789644,-0.77794935457241
"b212","monthly","2014-2-","salesforce",-0.683007367157279,18,897,2.36927832354215,-0.775057328724162
"b213","monthly","2014-2-","salesforce",-0.680777521852932,19,897,2.39880467468688,-0.772105010198356
"b214","monthly","2014-2-","salesforce",-0.678620531447109,20,897,2.42689346315274,-0.769360208914906
"b215","monthly","2014-2-","salesforce",-0.676463636519568,21,897,2.45409740626129,-0.766873702889083
"b216","monthly","2014-2-","salesforce",-0.674435694842228,22,897,2.47901199420375,-0.764319621918433
"b217","monthly","2014-2-","salesforce",-0.672474142782099,23,897,2.5019217355098,-0.761719037604658
"b218","monthly","2014-2-","salesforce",-0.670474482078468,24,897,2.52331528287053,-0.759115661629964
"b219","monthly","2014-2-","salesforce",-0.668463080993308,25,897,2.54226327076383,-0.756290535689878
"b220","monthly","2014-2-","salesforce",-0.66650003388373,26,897,2.56013184060191,-0.753529216423711
"b221","monthly","2014-2-","salesforce",-0.664527447512896,27,897,2.57796230624765,-0.751023006145126
"b222","monthly","2014-2-","salesforce",-0.662692400293181,28,897,2.59508412126547,-0.748647315236951
"b223","monthly","2014-2-","salesforce",-0.660801432406483,29,897,2.61175861992817,-0.746384503268172
"b224","monthly","2014-2-","salesforce",-0.658957021012673,30,897,2.6267825931374,-0.743988975066226
"b225","monthly","2014-2-","salesforce",-0.657112600737177,31,897,2.63999998038562,-0.741415215810265
"b226","monthly","2014-2-","salesforce",-0.655314728741298,32,897,2.65277067088227,-0.738950578023232
"b227","monthly","2014-2-","salesforce",-0.653611462783457,33,897,2.66460239464025,-0.736484353715183
"b228","monthly","2014-2-","salesforce",-0.651874499807792,34,897,2.67652076497408,-0.734190957182491
"b229","monthly","2014-2-","salesforce",-0.650168444251975,35,897,2.68882548851503,-0.732135780458983
"b230","monthly","2014-2-","salesforce",-0.648487134846994,36,897,2.69977665184462,-0.729940333779805
"b231","monthly","2014-2-","salesforce",-0.646783323179342,37,897,2.71090076326462,-0.727910486248604
"b232","monthly","2014-2-","salesforce",-0.645152312621199,38,897,2.72099576954096,-0.725806334336933
"b233","monthly","2014-2-","salesforce",-0.643474926996263,39,897,2.73090345001342,-0.723773712511993
"b234","monthly","2014-2-","salesforce",-0.641752496504075,40,897,2.74033999849938,-0.721743978665416
"b235","monthly","2014-2-","salesforce",-0.64010605130843,41,897,2.74881197129659,-0.719638730790579
"b236","monthly","2014-2-","salesforce",-0.638454343687216,42,897,2.75664122180177,-0.717500743801832
"b237","monthly","2014-2-","salesforce",-0.636897292037006,43,897,2.7647813138069,-0.715546526606256
"b238","monthly","2014-2-","salesforce",-0.635298303714979,44,897,2.77248989113835,-0.713584198775523
"b239","monthly","2014-2-","salesforce",-0.633724230868711,45,897,2.77938000977183,-0.711545914395818
"b240","monthly","2014-2-","salesforce",-0.632129363607854,46,897,2.78644187728911,-0.709623793183838
"b241","monthly","2014-2-","salesforce",-0.630589130677266,47,897,2.79178436499057,-0.707437416230906
"b242","monthly","2014-2-","salesforce",-0.629122190687206,48,897,2.7973809782627,-0.705399293363163
"b243","monthly","2014-2-","salesforce",-0.627567721054771,49,897,2.80258415093695,-0.70333877770599
"b244","monthly","2014-2-","salesforce",-0.626068788444744,50,897,2.80837542518551,-0.70148143973139
"b245","monthly","2014-3-","salesforce",-0.777857524531594,2,849,0.626531514200836,-0.801920440426809
"b246","monthly","2014-3-","salesforce",-0.755286735762744,3,849,0.985819101512326,-0.800295100222514
"b247","monthly","2014-3-","salesforce",-0.740119954287065,4,849,1.23219962821395,-0.798364945534426
"b248","monthly","2014-3-","salesforce",-0.729318455778482,5,849,1.41807057667935,-0.796295866573304
"b249","monthly","2014-3-","salesforce",-0.720709849921859,6,849,1.56828725041965,-0.794645949348584
"b250","monthly","2014-3-","salesforce",-0.713779593015831,7,849,1.69052030687488,-0.792562158818056
"b251","monthly","2014-3-","salesforce",-0.707905609023012,8,849,1.78968413585411,-0.789495253116338
"b252","monthly","2014-3-","salesforce",-0.702422358083611,9,849,1.87816539786249,-0.787170613996742
"b253","monthly","2014-3-","salesforce",-0.697084359312813,10,849,1.95831113033934,-0.785341870232867
"b254","monthly","2014-3-","salesforce",-0.692411102736631,11,849,2.02900734685592,-0.783468496083352
"b255","monthly","2014-3-","salesforce",-0.688187642103598,12,849,2.09296597417202,-0.781755134250061
"b256","monthly","2014-3-","salesforce",-0.684147701047875,13,849,2.14890521916783,-0.779569354105391
"b257","monthly","2014-3-","salesforce",-0.680498233011763,14,849,2.19968088120519,-0.777426643526281
"b258","monthly","2014-3-","salesforce",-0.67715978014663,15,849,2.24575844446546,-0.775238379438896
"b259","monthly","2014-3-","salesforce",-0.674023103869554,16,849,2.28762138852773,-0.772980069922571
"b260","monthly","2014-3-","salesforce",-0.671003076541632,17,849,2.32592847023829,-0.770670686623633
"b261","monthly","2014-3-","salesforce",-0.668207983516312,18,849,2.36127342986764,-0.768394094534737
"b262","monthly","2014-3-","salesforce",-0.665414174012764,19,849,2.39427457692677,-0.766171303161788
"b263","monthly","2014-3-","salesforce",-0.662837178652959,20,849,2.42315074302962,-0.76360681620211
"b264","monthly","2014-3-","salesforce",-0.660209164152553,21,849,2.45111408726186,-0.761270218366932
"b265","monthly","2014-3-","salesforce",-0.657754396167065,22,849,2.47687476317883,-0.758893912660701
"b266","monthly","2014-3-","salesforce",-0.655324304488531,23,849,2.50048125266411,-0.756429347794375
"b267","monthly","2014-3-","salesforce",-0.652872197675855,24,849,2.52375649200757,-0.754223628397643
"b268","monthly","2014-3-","salesforce",-0.650608901902183,25,849,2.54591036232352,-0.752148776860803
"b269","monthly","2014-3-","salesforce",-0.648371396612618,26,849,2.56787573985134,-0.750320895668495
"b270","monthly","2014-3-","salesforce",-0.646146964017899,27,849,2.58911908122716,-0.748602760022374
"b271","monthly","2014-3-","salesforce",-0.64413193510034,28,849,2.60925794257832,-0.746934594878
"b272","monthly","2014-3-","salesforce",-0.642304663238628,29,849,2.62696777821904,-0.745008844177401
"b273","monthly","2014-3-","salesforce",-0.640476199528185,30,849,2.64319679978699,-0.742977727882739
"b274","monthly","2014-3-","salesforce",-0.638641154625618,31,849,2.65867536935835,-0.740969294041021
"b275","monthly","2014-3-","salesforce",-0.636758224468354,32,849,2.67308584772046,-0.738909444274636
"b276","monthly","2014-3-","salesforce",-0.634945330171609,33,849,2.68711738738006,-0.736950191115734
"b277","monthly","2014-3-","salesforce",-0.633100860369386,34,849,2.70031996755793,-0.734962317720767
"b278","monthly","2014-3-","salesforce",-0.631343702864564,35,849,2.71177136842751,-0.73277485798676
"b279","monthly","2014-3-","salesforce",-0.629542299305813,36,849,2.72249438381449,-0.730562804891097
"b280","monthly","2014-3-","salesforce",-0.627745273930517,37,849,2.73264517746871,-0.72836305447688
"b281","monthly","2014-3-","salesforce",-0.625991060649092,38,849,2.74237157009557,-0.726203683831117
"b282","monthly","2014-3-","salesforce",-0.62431007871138,39,849,2.75089694164416,-0.723929335945498
"b283","monthly","2014-3-","salesforce",-0.622618768619107,40,849,2.7586699649029,-0.721609859252026
