create_ts	id	tags	title	body	answers
2014-04-22T18:10:08.137	19	server-response-time^&^cache	improve server response time	what can i do  other than using a cache plugin like jotcache  to improve the server response time of my website   i have already removed all inactive articles modules  plugins and components  is there something else i can do to improve it   edit  i am talking about the time before the client  browser  gets a response to his request  and not the time the page loads  	you will want to also look into reducing local assets and proper caching  one thing that you can do is use cdn plugins  here are two i would recommend    corephp  jomcdn   https   www corephp com joomla products jomcdn  nonumbers cdn for joomla    http   www nonumber nl extensions cdnforjoomla  also if none of the above seem to resolve the issues you may have a deeper issue   possibly within your template  the server itself  or other things  if that is the case it might be best to hire someone to hunt down the issue and resolve it for you   i assume that you have run your site through google page speed  and you are indeed looking at reducing the page response time i e  time taken by your markup to be sent to the browser    the most likely culprits for these are heavy queries  turn on the debug and look at the bottom of the page to find out which are the most heavy queries and remove or reduce them  you can also take help of your mysql server s slow query logs    the next thing that you can look at is caching  depending upon the kind of site you have you can turn of conservative or progressive caching  progressive is to be used on sites that don t have and user related features   the things i know of that can help  most of which have been listed  are these    caching compression  gzip your css and js files  combining files  all your css gets combined into one file  offloading images and files onto a cdn    i ve used a combination of the built in joomla cache  or even apc enabled on the server  and plugins like gzip or rocket theme s rockbooster plugin  i also use nonumbers cdn plugin with an amazon account   it definitely helps  but you have to watch your site and disable the cache for components that have issues  i had to bypass civicrm on our site because it didn t play nice with caching  joomla comes with a cachecontrol plugin that can handle that   one big thing you can do to improve response times for your site is to update your module settings  custom modules  using mod custom  have an option to enable   disable the preparing of content  this allows you to run content plugins on the data content within your custom module  it s powerful when used properly  but it does add additional rendering time to the module output  unless you are actually making use of a content plugin within your custom module content  it s best to turn that off  you ll see an decrease in module rendering time when you do this   screenshot of the setting       note  if my answer helped you  please click the check to the left to accept the answer    there are several steps you can take to increase server side performance  do note that some of these will not work with most shared hosts  for great performance you usually need more fine grained control   as with any optimizations  you should measure the effect it has on your site s performance  for basic optimizations are tools like pagespeed and yslow helpful  i recommend the firefox versions   for a more in depth understanding you ll have to measure the actual response times of your live system over a period of time   php   enable opcode caching  this is probably the single biggest thing you can do to increase you site s performance  i recommend either using opcache or apc   the configuration of these caches can be tweaked for even greater performance based on the servers and sites specific needs  but just installing is already a huge boost  update php version  newer php version regularly come with performance improvements  additionally there are a number of cases where joomla can use better code when running on a newer php version  as of today you should not be using a php version older than php 5 4 if you care about performance  php settings  on older php versions     5 3  take care to turn off register globals and magic quotes gpc for a free performance win  on php    5 6 change always populate raw post data to  1  php extensions  joomla contains some code to workaround missing php extensions  this will always be slower than those extensions  for a decent performance improvement install the following extensions  mbstring   zip   ftp   webserver   enable gzip  enabling server side compression trades bandwidth for cpu resources  for most sites out there this is the right call  be careful to only compress text data  compressing binary data will give you the cpu hit without the bandwidth advantages  you can also enable compression in the joomla settings but it s better if you let the server deal with this  precompress static resources  i m not talking about minfication  though this helps too  but you can configure nginx and apache to server already compressed resources  effectively eliminating the cpu hit from gzip compression  bonus points  use zopfli for even smaller files  use fastcgi for php  more specifically you should use php fpm   this prevents starting up php when the browser requests a non php file  use appropriate cache headers  using expires header can greatly reduce the the server resources required  after all the fastest request is the one never done    apache  generally i d recommend using nginx for high performance sites  if you absolutely do need to use apache for some reason i got a bonus tip    disable allowoverride  setting allowoverride to none prevents a lot of disk io and    joomla   do not use the ftp mode  while it doesn t affect your users reading the site  it will slow down some operations like extension installation  turn off unused extensions  this goes especially for plugins  many of these are run on every request  disabling menus and components is mainly helpful when listing available extensions and menu types  also take 5 minutes to go trough the extensions that come with the joomla core and disable those you don t use  turn off prepare content  if you use a lot of custom modules   mod custom not custom as in self written  check if you can disable prepare content in those  this saves some processing  use caching  if you re serious about performance you ll want to enable caching  especially useful for read heavy sites with many anonymous users  logged in users will bypass most of the cache  if you have a lot of these the effect won t be as big  use an alternative session handler  by using an alternative session handler you can free your database for more important things  i d not recommend file  confusingly called none in the joomla settings  as that will bring once again increase disk io  using apc is potentially the fastet but increases the risk of loosing all session data  the right middle ground is memcache  while this requires an additional process  it s more reliable than apc and much faster than storing all the data in the database keep your site simple  do you really need that facebook button  what about that cute icon that no one ever sees because it s partly hidden behind some banner  the less your site displays the faster it will be  also wherever possible use css3 instead of images     miscellaneous   set a favicon  thank to a decision dating back to internet explorer 4 0 browsers make a request to a file called favicon ico whenever a user visits your site  if you don t have one this causes unnecessary io  as 404 responses are not cached  either specify your site s icon with a html meta tag or add a file called favicon ico to the web root  don t want a favicon  place a transparent png with a size of 1x1 pixel in that location  note that the extension still needs to be  ico   optimize your images  it s amazing what kind saving one can get by optimizing images  especially png files  there are a variety of tools available for any operating system  personally i use imageoptim which is available for os x  joomla s core images are already optimized but go trough your own images  especially templates are important  you could also check the extensions you are using  if they re open source  why don t you contribute a pull request containing newly optimized images    the advanced  if you really wanna go all out  consider putting varnish in front of your site  it caches requests to your site and if possible serves them from it s own cache  never hitting joomla  it s a complex tool but with a lot of power  joomla won t take advantage of advanced functionality like edge side includes  esi  but your own code could   
2014-04-22T18:18:35.920	26	update^&^templates	what is the proper methodology for updating templates 	currently to update templates on our production site  we are taking the site offline  changing the template  uninstalling the template  reinstalling it  changing the template settings back  and then putting the site back online  i generally am not a fan of taking the site down for any reason and this process allows for errors especially with templates used only for a few pages  components and such can be updated easily  but it seems this same functionality is omitted for templates   is there a better methodology for handling template updates that eliminates taking the site offline  	upgrading a template should be as simple as using the joomla installer to upload and install the updated version of the template   for it to work  though  the templatedetails xml file must define the  method  as  upgrade   rather than  install    you can check this by unzipping the template install file  opening the templatedetails xml file and check for the following at or around line 3    extension version  2 5  type  template  method  upgrade  client  site     if the method  install    change it to method  upgrade    and save the file   zip up the package and point the installer at it and you should be good to go   a note about customizations   this process will upload the full template  potentially overwriting any customizations you ve done   for this reason it s a good idea to add any and all customizations you might like to do to a single file for easy backup and re adding   i like to use a css file i name  custom css   and load this file last  so that my customizations override the defaults     
2014-04-22T18:28:48.080	36	php^&^module^&^sef^&^url	how do i generate a sef url in a custom module instead of the real url	in my module  this code is being used to generate the url of the page   juri  base     contenthelperroute  getarticleroute    article  id    article  catid     this works exaclty as it should and produces a url that looks like   http   mydomain com index php option com content view article id 83 catid 26 itemid 162   but i would like to know if there is a way to get the module to generate the sef url for the current page  something like   http   mydomain com resources blog 83 illustration  	use jroute for this   ltrim juri  base           jroute    contenthelperroute  getarticleroute    article  id    article  catid      but you don t need juri  base   if you don t want to link to a different domain   there is a system plugin called system  sef  when enabled  this plugin scans the final html output just before it is sent to the browser  and replaces any non sef links with their sef counterparts by running it through jroute     url     this only works for internal links though beginning with index php   so it won t work if the link starts with http       try removing juri  base    and thus removing the http    from the link  and it should work if the plugin is enabled   
2014-04-22T18:33:22.837	40	cms^&^extensions^&^overrides^&^plugin	is it possible to get generator tag removed from joomla sites without interfering core framework	is it possible to get the generator tag removed from joomla sites without interfering with the core framework  i personally feel this is an irritating aspect of the source code and makes websites easily attacked if some security flaw in a particular version is exploited   to explain it in detail  if some flaw is exploited in  say joomla 3 2  then all websites based on joomla 3 2 are targets and those websites can easily be found using generator tags  so i want to get rid of them  	once i have used a tiny plugin called byebyegenerator   http   extensions joomla org extensions site management seo a metadata generator tag 12556    which removed the generator tag immediately   give it a try   if you use a custom template  or you write your own  you can easily remove the generator tag by putting the following code at the top of your template s index php file    this  setgenerator null     in the most current versions of joomla  3 x   doesn t this setting in the global configuration do what you need  and hide the generator info     
2014-04-22T18:53:10.417	49	gpl^&^extensions^&^subscriptions	are download ids  api and subscription keys free to distribute with gpl extensions 	i purchase and use several extensions on an annual subscription basis  and whenever the extension provider has an unlimited use option   i usually go for that    many extension providers have a download id  api key or subscription key which is for upgrades and ongoing updates   i usually build a boilerplate  i e  a site with the extensions installed and configured   then clone those boilerplates to generate  quick start  joomla  sites   i use these boilerplates for my own clients  i e  site owners whom i design and develop for   and i also share these boilerplates with other joomlaists in my user group   i d like the people who receive and use those boilerplates to get ongoing updates as well  and i keep my subscriptions paid up   do i have to remove the download ids and subscription keys before distributing my joomla  sites   	i think you have two different questions here  in my opinion  ianal  it is perfectly fine to create this  quick start  joomla packages that include these extensions and keys for your own use  but it starts to get grey when you distribute them to others   the code of a joomla extension itself must be gpl  and is therefore able to be distributed freely  the subscription keys  however  offer additional access to the services you paid for  typically upgrades and support  depending on the extension provider  distributing those are more than likely a violation of the terms  and not acceptable use   i believe if it s gpl then you re allowed to do that  but i always check the developer s site to see if they have restrictions  many of them only support 1 domain  others don t care  i tend to put jce on everything i build  including the paid plugins   i also validate rocket theme s updater on sites that use a rocket theme  but for other plugins  i tend to be a little more selective and just update the site if the client asks me to   but then again  i don t promise them more than about 30 days of updates unless they want to pay me to maintain their site  and if they start to do that i ll likely use watchful li to push out updates anyway  then your akeeba and a few other codes are safe in the watchful site    it depends on your license  as i understand  if you have a developers license  yes  you can use these extensions in all sites you create for thirds   if you have a  usual  license  you may only use it in the number of sites your license allows you too  if limited  usually 3   the extension is gpl  the license for software updates and support is not   
2014-04-22T19:02:23.833	55	cms^&^php^&^jinput^&^jrequest	what s the proper way to get the entire   post 	in joomla  2 5 x i could simply run jrequest  get  post    but seeing as jrequest is deprecated in joomla  3 x i should use jinput    at them moment this is the code i m using to get the entire   post     app   jfactory  getapplication     postdata    app  input  getarray array flip array keys   post       but this seems rather cumbersome and i run into issues if used in conjunction with  app  input  set    i would think there would be a better way    when searching for this before i ve found people saying you can simply run    app   jfactory  getapplication     postdata    app  input  post    but when i tried this out i simply got an instance of the jinput object  	 app   jfactory  getapplication     postdata    app  input  post    is the way to go  you will get a jinput object and can use it like jrequest   var    postdata  get  varname    defaultvalue    filter      the filter could be  int    cmd  or many others   the complete list can be found in this function  https   github com joomla joomla cms blob staging libraries joomla filter input php l194  if you would only like the array  then you can do   array    app  input  post  getarray      but you should avoid this style of accessing user data without filtering   
2014-04-22T19:04:20.697	56	cms^&^php^&^smtp^&^jmail	smtp no error but not sending email	i have been battling with this for some time now  i have built a custom component for forms and it uses joomla s mail functions to send email  i have checked all the data to make sure it is correct but the email just does not send   mailer  send   returns true as well   turning on every style of error reporting reports no errors as well    mailer   jfactory  getmailer     mailer  setsender  settings  sender    mailer  addrecipient  settings  to    mailer  setsubject  settings  subject    mailer  ishtml true    mailer  setbody  settings  body   if  send    mailer  send         email worked     print r  settings       exit   else    echo  error     exit      this is the heart of the component where the email is sent  the  settings is an object i use to store the information that i need to send the email  and after what is read as a  successful  send it outputs all the proper information  however mandrill  the service we use for emails never gets the email  meaning that as far as i can tell it failed to connect to smtp meaning it should of had an error at some point in the connection  but joomla fails to see it   this same code works on many other sites  the one in question is a subdomain and hosted with hostgator  though without any form of error i have no clue where to start looking for a fix  	joomla uses phpmailer as mail handler  phpmailer has a nice smtp log if you turn it on  you can do this by setting the smtpdebug variable to true   mailer   jfactory  getmailer      mailer  smtpdebug   true    mailer  setsender  settings  sender    mailer  addrecipient  settings  to    mailer  setsubject  settings  subject    mailer  ishtml true    mailer  setbody  settings  body   if  send    mailer  send         email worked     print r  settings       exit   else    echo  error     exit      this should help you find the problem in the communication between joomla and the smtp server   
2014-04-22T19:22:46.740	64	seo	my 404 page returns a 500	joomla is correctly detecting when a page is not found  and redirects me to the error page i have setup  unfortunately  i ve found that the error code being returned is a 500   instead of a 404  and this is coming from joomla    is there a way to get joomla to return a 404 in this case  	in libraries legacy controller legacy php we changed   throw new exception jtext  sprintf  jlib application error view not found    name   type   prefix   500    to   throw new exception jtext  sprintf  jlib application error view not found    name   type   prefix   404    
2014-04-22T19:29:49.770	66	cms^&^menu	copying joomla menu items and keeping module assignements	currently in joomla 3 2  selecting  save as copy  on a menu item copies the details but not the module assignments into a new menu item   i believe module assignments were copied in joomla 2 5   is there a way to copy menu items in joomla 3 2 while also copying module assignments   	you can t do that as modules are assigned to a menu item id and saving a menu item as new will give it a new menu id which no modules are assigned to   moving an item will keep its id but not copying   
2014-04-22T19:32:24.460	68	module^&^menu-item^&^module-display	control module display on pages with no menu link	i have asigned a module to pages according to their menu items in the module parameters but i would like to hide show it on specific pages that don t have a menu item linking to them   how do i control module display on these pages  	you can t do it with default joomla  only by menu item  take a look at advanced module manager by no number which gives you more assignment options   to get around issues like this  i normally create a  hidden  menu which is not placed anywhere on the site  by doing so  i can specify the url of specific pages and can apply modules to them  as you are trying to do  as well as templates    solution 1   hidden menu  if your pages also need pretty sef urls  you can make a hidden menu and link those articles in the hidden menu  a hidden menu means that you don t create a module for it  you just create it in the menu manager  so it s never visible as a true menu to the end user   since joomla sees this as a real menu  even though it s not visible   you will be able to assign modules to each one of them by selecting the hidden menu items in the module parameters   solution 2   advanced module manager  other than that  nonumber advanced module manager is absolutely the way to go  advanced module manger lets you assign modules based on a large number of criteria such as category  component  url  menu item  language  you can even use it to publish things to specific users or groups of users   try using no number extensions   http   www nonumber nl extensions advancedmodulemanager  the advanced module manager allows you to do a lot of specific assignments  so you could actually set it up to match a menu item only if  abc  is in the url path  or by specific article  or component  even day of the week  you can even write custom php functions to create your own selectors  you can use  any  or  all  matches  it s pretty awesome  all his other extensions are pretty great too  totally worth purchasing pro  but even the base free stuff is great   sorry   i started writing this like 20 minutes ago and got interrupted then posted it without knowing everyone already suggested this   but i m leaving it because it makes me feel like i m part of a team of people who know stuff   
2014-04-22T19:32:27.323	69	templates^&^positions^&^cms	better way to show positions	does anyone know a better way to show a template s positions   it seems to me that appending      tp 1  to url is rather klunky and sometimes hard to read   thanks   	i tend to use commercial templates  and they provide a nice graphical map i can use as a guide   other than that  you might want to mess with poweradmin by joomlashine  it s not a template  its an enhancement to the admin   it s got a nifty layout that lets you see the different positions and what modules are loaded in them   i use to create custom html saying the name of the position i m putting it in  it s a great and easy way to locate all positions     then i create an ipsum article  make a menu item  special  category access for it  and assign all these test modules to appear just in that menu item  that way i have all positions  including component one  and being custom html i can use to make a first draft   
